,Id,Text,Nutrients,Foods,Enhance,Inhibit,Label
72,8524893.pdf,"6  mg  Zn  labelled  with  65Zn together  with  varying  levels  of  Fe    to  adult  volunteers  and measured 6sZn retention  by whole-body counting The Fe:Zn  molar ratio was shown to be  an  important  determinant  of  Fe-Zn interactions  A  significant  reduction  in  Zn absorption from Zn solution in water was observed when Fe:Zn was 25:1, but there was no effect at ratios of 25:1 and 1:l However, when the Zn and Fe  were given with  a meal  of  rice with  meat  sauce, the inhibitory  effect was no longer seen",,"meat, rice",enhance,,1.0
76,9279059.pdf," It is also inhibited when the meal is ingested with more than 500 mg calcium, when magnesium intake is more than 300 times that of iron, and when zinc intake is more than five times that of i r ~ n   ~ J ~  The principal inhibitors are phytates contained in cereals and legumes, and polyphenols, which are in high concen- In contrast to the inhibitors mentioned above, other compounds  enhance  iron  absorption  during  digestion These include meat and viscera, amino acids , ascorbic acid, citric acid, oxalic acid, fructose, FeNaEDTA, alcohol, and acidic foods* The heme pool is made up of animal muscle and in- cludes cow, pig, chicken, fish, and hemoglobin Iron ab- sorption fiom  foods in this  group is three to  five times higher than from foods in the nonheme iron group: about 15-25%  in normal subjects and 25-35%  in iron-deficient subjects",,"fish, meat, chicken",enhance,inhibit,1.0
78,9279059.pdf," A comparison of surveys from Caracas in 1992 and in 1994 shows a significant reduction of prevalence of iron deficiency, from 37% to  16%, and prevalence of anemia from 18% to 10% However, reduction in the prevalence of iron deficiency anemia was not significant This study  also analyzed micronutrient interactions on iron absorption from a basal breakfast containing pre- cooked maize bread or wheat bread, cheese, and marga- rine This breakfast was adminstered alone on the first day of the expGriment and with different concentrations of cof- fee beverage on the following days It was surprising to observe that coffee showed an inhibiting effect only with the breakfast containing wheat bread, but did not show a reduction in iron absorption when given with the maize bread",,"maize, wheat, coffee",enhance,inhibit,1.0
79,9279059.pdf,"0 Nutrition Reviews, Vol 55, No 6 23 7 iacademcoupcomnutriti/il/onrevews/artice5562331815436by///IndaniInstittueoflTechnoogyRoparuseron09April2022             demonstratedthat vitamin Aprevented the inhibitory iron absorption effect of phytates contained in precooked maize flour  The A contained in en- riched precooked maize flour probably enhanced iron ab- sorption and was, at least in part, responsible for the early response of the uouulation to the fortification uromam",iron,maize,enhance,,1.0
80,9292775.pdf," Consumer  flavour analysis  was  conducted  using  eggs  from the  highest  level  of  MO enrichment   only We used  a duo-trio  test  to determine if  a  group of  consumer panelists could detect a flavour difference between eggs from hens fed with MO and those from  hens  fed  on  a  typical  ration  Panelists  differentiated  between  n-3  FA-enriched  and control  scrambled eggs  but  not between  hard boiled  eggs   Additionally,  several consumer comments referred to a fish-like flavour when eggs from hens fed on 30 g MOkg were served scrambled The volatility of flavour compounds characteristic  of  fish oils  was believed  to be enhanced  during  the mixing of  egg  samples before  scrambling  as  well  as  during  exposure  to  high  heat  during  scrambling",,"egg, fish",enhance,,1.0
84,9583844.pdf,"The chocolate drink contained relatively high amounts of polyphe-nolic  compounds, phytic  acid, and  calcium, all  well-knowninhibitors  of  iron  absorption  The  low  iron  absorption  withoutadded ascorbic acid shows that chocolate milk is a poor vehicle foriron  fortication  unless  sufcient  amounts  of  an  iron-absorptionenhancer are added Regular consumption of iron-fortied choco-late milk drinks containing added ascorbic acid could have a posi-tive effect on iron nutrition in population groups vulnerable to irondeciencyAm J Clin Nutr 1998;67:8737increase  iron  intake  and  can  be  achieved  by  fortifying  a  dietarystaple such as cereal our or by fortifying widely consumed food-stuffs such as sugar and salt",,"milk, sugar",,inhibit,1.0
85,9583844.pdf,"4 DISCUSSIONAs  expected, iron  absorption  by  the  children  from  the  iron-fortified, chocolate-flavored milk was low when no ascorbic acidwas added, presumably because of the relatively high content ofphenolic  compounds    and  phytic  acid   in the test meals A similar content of polyphe-nols    in  a  glass  of  red  wine  reduced  iron  absorptionfrom an iron-fortified bread roll in adults by <70%  whereasaddition of 34 mg phytate to a bread roll decreased iron absorp-tion in adults by  <60%  The relatively high content of cal-cium in the test meal  would also be expected to inhibitiron absorption from the chocolate drinks A dose-effect relationbetween  calcium  content  and  nonheme-iron  absorption  wasshown from small test meals consisting of wheat bread, with themost  marked  inhibition  occurring  when  the  meals  containedbetween 40 and 165 mg Ca ",,"milk, wheat",,inhibit,1.0
88,9701165.pdf," Fish is a rich source of readily avail-able  zinc  and  its  consumption  is  encouraged  Consumption  ofboiled, ground  nuts  as  snacks  and  the  addition  of  ground-nutflour to maize-based porridges and nsima are also being recom-mended to enhance the zinc density, as well as that of energy, fat,and iron, of the rural dietsIncrease intakes of foods known to enhance zinc absorptionCertain  amino  acid  and  cysteine-containing  peptides, releasedduring  the  digestion  of  cellular  animal  proteins   and organic acids   produced  during  fermentation, enhance  zincabsorption, possibly by forming soluble ligands with zinc or by pre-venting the formation of the insoluble zinc-phytate complex Use soaking, germination, and fermentation to inducephytase hydrolysis of phytic acid Most  plant-based  foods  contain  some  phytase  enzymes,although  in  dry  or  dormant  seeds  activity  is  negligible  The1 From  the  Department  of  Human  Nutrition, University  of  Otago,Dunedin, New Zealand, and the Department of Community Health, Collegeof  Medicine  and  Bunda  College  of  Agriculture, University  of  Malawi,Malawi","energy, fat",maize,enhance,,1.0
89,9701165.pdf," Only the higher inositol phosphates  inhibit zinc  absorption During  germination, phytase  activity  in  cereals  and  legumesincreases as a result of de novo synthesis, activation of endoge-nous phytase, or both , the rate of phytic acid hydrolysis vary-ing  with  the  species  and  variety  Hence, to  enhance  enzymatichydrolysis of phytate, some germinated cereal or legume floursshould be added to the ungerminated maize flour before soakingthe slurry in water at ambient temperature for 1224 h to allowphytase-induced hydrolysis of phytate to occur Figure 1 showsthe reduction in IP-6 and IP-5 that can be achieved after soakinggerminated whole sorghum flour compared with soaking unger-minated 85% extracted and untreated whole sorghum flour -Amylase  activity  is  also  increased  during  germination",,"maize, sorghum",enhance,,1.0
91,9701165.pdf,"In the future, pure culture microorganisms may be developedthat reduce the fermentation times necessary to decrease or elim-inate  phytic  acid  and  other  antinutrients  , andFIGURE 1 Effect of soaking and fermentation on the inositol phos-phate  content of different sorghum porridges made fromwhole flour, milled flour , and germinated whole flour, soaked for 12 h at pH 6; , fermented for 48 h Mod-, untreated; ified from reference 7may  enhance  the  nutrient  content  and  quality, and  avoid  toxinproduction  problems  ",,"flour, sorghum",enhance,,1.0
94,9701593.pdf,"The structural features of oxygenated hydrocarbons thatare important for H2O2 elicitation in the cucumber hypo-cotyl system became only partly clear with the selection ofauthentic compounds used in this study In saturated fattyacids at least one hydroxyl group is required  for activity, preferentially located at thev-position  Alternatively, cis-double bondsare favorable  Inthis respect, our results are in agreement with the obser-vation that arachidonic acid  can elicit several de-fense responses in potato  Hydroxyl and epoxy groups in some cases enhancebut in others decrease elicitor activity of fatty acids, de-pending on their number and relative position ",,"cucumber, potato",enhance,,1.0
96,9771866.pdf," Hemoglobin, hematocrit, and the corpuscularindexes  measured  after  4  y  of  intervention  with  calcium  orplacebo were not significantly different between the groups, con-firming the findings inferred from the ferritin study According to some studies, calcium in food or as a supplementmay decrease iron absorption by as much as 50%  How-ever, the  inhibitory  effect  of  calcium  is  influenced  by  the  com-pounds containing calcium and iron, the amount consumed, andwhether  the  minerals  are  consumed  separately  or  as  part  of  ameal In a study by Hallberg et al , different amounts   of  calcium  as  calcium  chloridewere added to wheat rolls or hamburger and caused a dose-relatedinhibitory response up to 300 mg Ca In addition, when milk orcheese  containing  165  mg  Ca  was  consumed  with  the  controlwheat rolls, iron absorption was reduced by 57% when milk wasconsumed and by 46% when cheese was consumed",,"wheat, cheese",,inhibit,1.0
98,9828763.pdf," Based on the daily food consumption and the ingestionof drinking water this would result in a lumen Cd concen-tration of <1 mM  assuming that all Cd in the food wasdissolved in the stomach of the miceThe wheat-bran diet contained high levels of both IP5 andIP6 In the carrot diet, on the other hand, IP5 and IP6 werepresent at very low levels and the sugar-beet-bre andCdCl2 diets contained no detectable IP5 and IP6 An invitro study on the effect of phytic acid on the absorption ofCd across the intestinal walls of rats showed that both the Cdabsorption and retention of Cd in the mucosa was signi-cantly lowered in the presence of phytic acid  It has also been shown that the inhibitory inuence ofIP3-IP6 on the uptake and absorption of Fe and Zn in thehuman intestinal cell line model  was proportionalto the phosphorylation of inositol ",,"carrot, sugar",,inhibit,1.0
123,15528976.pdf,"Natural products originating in different plants may actcooperatively against cancer Thus, quercetin , and genistein  synergistically in-hibit proliferation of ovarian carcinoma cells [6] Further,mixing avonoids from orange juice with tocotrienolsfrom palm oil synergistically retards breast cancer growthboth in vitro and in vivo [7]As medicines, adjuvant compounds within single plantsmay augment the activity of active principles [8, 9]12Thus, the antimicrobial action of the alkaloid berberineis enhanced by 5methoxyhydrocarpin MHC), a com-pound found in the same plants as berberine, but itselfwithout antimicrobial activity",,"oil, orange, palm oil",enhance,,1.0
126,15570057.pdf," Apple extracts also contain bioactivecompounds that inhibit tumor cell growth in vitro Phyto-chemicals in apples with peel  inhibitcolon cancer cell proliferation by 43% However, this wasreduced to 29% when apple without peel was tested Different species and varieties of fruits, vegetables, andgrains have different phytochemical proles The combination of orange, apple, grape, and blueberry dis-played a synergistic effect in antioxidant activity ",,"apples, orange",,inhibit,1.0
136,15867330.pdf," The mechanism for thisprotection is shown in Figure 1 When the motherinfantnursing dyad is exposed to a novel enteric pathogen, thePeyers patch in the maternal intestinal mucosa acquires thepathogen in a sample of luminal contents The M cell presentsthe antigens of the pathogen to circulating B cells, priming thecell for antibody production When the B cell is in the prox-imity to the basolateral side of the mammary epithelial cell,the IgA that is produced is transported into the acinar cell onthe basolateral side, and, as the IgA is transported to the apicalside of the cell, the IgA acquires its carbohydrate chain tobecome sIgA that is excreted from the apical membrane intothe milk The sIgA in milk enters the alimentary canal of theinfant where it binds to the enteric pathogen,inhibitingdisease",carbohydrate,milk,,inhibit,1.0
155,16770692.pdf," Thus, in a practical sense, a priori concernabout the low lysine content of pumpkin seeds, would bemitigated by the likelihood that these seeds would be eatentogether with other protein sources that contain a muchhigher proportion of lysine For example, in certain parts ofAfrica, pumpkin seed meal is added to wheat our in breadmaking [4]An inherent limitation in any study based on the chemicalanalysis of nutrients in foods is that it does not take intoconsideration the important issue of bioavailability The56usefulness of the foods we have analyzed in the presentreport in fullling a particular nutrient need will depend onthe extent to which these foods are digested and that nutrientin question is absorbed from the intestine For example,pumpkin seed contains phytates that can bind calcium andother divalent cations and protease  inhibitorsthat can reduce protein digestion [4]",protein,"wheat, pumpkin",,inhibit,1.0
179,18433137.pdf,"5  and Dialyzability  of Iron, Calcium, and Zinc from Gluten-Free Cereals Dephytinized or Not and Reconstituted with Water orFollow-on FormulaaFeCaZnsolubility dialysis solubility dialysis solubility dialysis -phytase +phytase -phytase +phytase -phytase +phytase -phytase338  and Dialyzability  of Iron, Calcium, and Zinc from Multicereals Dephytinized or Not and Reconstituted with Water or Follow-onFormulaaFeCaZnliquidreconstitutionwaterfollow-on formulaphytase treatmentliquid reconstitutionphytase treatment liquid reconstitutionsolubility -phytase +phytase17 dialysis +phytase -phytase +phytase -phytase +phytase -phytase +phytase -phytasesolubility solubility dialysis +phytase316  The higher solubility of ferrous sulfate  aswell as the poor bioavailability of elemental iron  have beenreported Nevertheless, it should be noted that after phytasetreatment in eight cereals-honey, rice cream, and wheat, asignicant increase in iron dialysis was observed when theywere reconstituted with water as well as with follow-on formula;higher dialysis percentages were observed in infant cerealsreconstituted with water, probably due to the factor of aninhibitory effect of casein , milk proteins , and calcium, as has been reported",,"milk, wheat, rice",,inhibit,1.0
190,19079877.pdf," The diseasesyndrome generates lesions in the wall of the small intestinewhich in turn leads to loss of appetite, the production ofdark-coloured faeces, poor growth and possibly mortalitiesof 25 50 %Clostridial bacteria, however, commonly occur in healthychickens but the pH and high O2 content of the smallintestine do not support extensive growth of the organismFor disease symptoms to appear there must be some stress orthat allows the clostridial bacteria totriggerproliferate and migrate to the lower part of the smallintestinefactorSeveral stresses predispose birds to necrotic enteritis;damage to the intestinal lining by coccidia or by otherimmunosuppression and feed characteristicsbacteria,Wheat and barley as major raw materials in poultry dietsincreased the prevalence of necrotic enteritis in broilerscompared with the use of maize-based diets ",,"wheat, barley",enhance,,1.0
191,19087437.pdf,"  conrmed and extended their ndingsFirst, they measured the effect of a 600 mg CaCO3 supplement on intrinsic food Fe absorptionfrom two meals with markedly different Fe bioavailabilities The CaCO3 reduced theabsorption of non-haem-Fe by 32 % 001) from a meat-containing high-bioavailabilitymeal 1 mg Fe, 37 mg non-haem-Fe) and by 42% 05) from a meal with low bioa-vailability containing an egg, bran akes and coffee 7 mg non-haem-Fe)CaCO3 also reduced the absorption of Fe from Fe supplements  when the Ca andFe were taken together in the fasting state  or with ameal  When 37 mg Fe as FeSO4 was taken with 300 mg Ca after anovernight fast, absorption was inhibited by 15 %",,"egg, meat",,inhibit,1.0
193,19087437.pdf,"  studied the effect of a calcium citrate  malate supplement containing500 mg Ca given with a breakfast meal 18 mg Fe, 238 mg Ca) on the absorption of the foodFe using an extrinsic tag and whole-body counting in nineteen Fe-replete post-menopausalwomen Absorption was reduced by 28 % 05) The inhibitory effect was reversed byadding 450 ml orange juice containing 193 mg ascorbic acid to the meal In the series of studiesperformed by Cook et al , a 600 mg supplement of calcium citrate reduced theabsorption of food Fe from the low-bioavailability meal described earlier by 57 % 01),but had no signicant effect in the higher-bioavailability meat-containing meal",,"meat, orange",,inhibit,1.0
194,19087437.pdf,"Haem-Fe absorption There are two reports dealing with the effect of Ca salts on haem-Feabsorption In the rst, Hallberg et al  found a 24 % reduction in haem-Fe absorption01) when 165 mg Ca was added to a hamburger meal The second  was designed to determine whether Ca inuences haem-Fe absorption by suppressingthe enhancing effect of meat  Absorption wasmeasured from a hamburger meal and from two wheat rolls eaten with and without 165 mg Caas CaCl2: Ca reduced absorption to the same extent in both meals, indicating that Ca is a direct inhibitor of haem-Fe absorption; its effect isindependent of the meat effect",,"meat, wheat",,"suppress, inhibit",1.0
211,20092313.pdf," Turmeric powder is used as a cooking spice, foodpreservative, and natural yellow food coloring in Asia, Europe,and America and is also integral to traditional medicinal systems,such as Ayurveda in India The powder of turmeric root sold asspice contains 05-3% curcumin by weight Curcumin modulates expression of genes involved in cellproliferation, cell invasion, metastasis, angiogenesis, and resis-tance to chemotherapy  It is a potent inhibitor of theactivation of various transcription factors including COX-2,nuclear factor-B , activated protein-1 , signaltransducer and activator of transcription  proteins,peroxisome proliferator-activated receptor- , and-catenin ",protein,"turmeric, milk",enhance,,1.0
213,20200263.pdf," The inhibiting effect of polyphenols on ironabsorption has been shown with black tea and herb teas At comparable amounts, the polyphenols from black tea wereshown to be more inhibiting than the polyphenols from herb teasand wine  The fact that polyphenol quantity, as well astype, inuences iron absorption was also shown in a study withspices Chili, but not turmeric, inhibited iron absorption in Thaiwomen, although turmeric contained more polyphenols than chili In cereals and legumes, polyphenols add to the inhibitoryeffect of phytate, as was shown in a study that compared high andlow polyphenol sorghum",iron,chilli,,inhibit,1.0
215,20200263.pdf," In a recentstudy the addition of 200 mg calcium to a maize-based test mealhad no signicant effect on iron absorption from NaFeEDTA It is proposed that single-meal studies show a negative effectof calcium on iron absorption, whereas multiple-meal studies,with a wide variety of foods and various concentrations of otherinhibitors and enhancers, indicate that calcium has only a limitedeffect on iron absorption ProteinsWhereas animal tissues have an enhancing effect on nonhemeiron absorption, animal proteins, such as milk proteins, eggproteins, and albumin, have been shown to inhibit iron absorption The 2 major bovine milk protein fractions, casein and whey,and egg white were shown to inhibit iron absorption in humans Proteins from soybean also decrease iron absorption",protein,"milk, egg, maize",enhance,inhibit,1.0
224,20560601.pdf," The reason for suchdifferentiation of grains on the bioavailability of these two mine-rals needs to be elucidated further The present study also suggeststhat malting of barley may form a good strategy to provide higheramounts of bioaccessible minerals, except zincThe beneficial effect of malting on iron and calcium bioacces-sibility, which was evident in finger millet and wheat, may pro-bably be attributed to the decrease in phytate content as a result ofmalting The phytate content was highest in finger millet , followed by wheat  and barley  Barley, the intrinsic phytate content of which wasrelatively lower, did not find similar advantage of enhancedbioaccessibility of these minerals as a result of malting",,"barley, wheat",,inhibit,1.0
225,20560601.pdf," A20% increase in iron bioaccessibility from finger millet was seen atthe end of 48 h of germination  Heat processing of finger millethas been earlier evidenced to enhance the bioaccessibility of ironby 104 and 85% in pressure-cooked and microwave-heated fingermillet, respectively Pressure-cooking and microwave-heatingbrought about 39 and 115% increases, respectively, in the bio-accessibility of iron from wheat ",,"wheat, millet",,inhibit,1.0
230,21240540.pdf,"Not only did foliar application of iron enhance riceyield  and juice quality in sugarcane  but also it reduced zinctoxicity in tomato plants  Foreconomic reasons, ferrous salts are commonly used infoliar applications; however,iron citrate and ironethylenediaminetetraacetic acid  are alsoeffective Cytokinin and iron deciency chlorosisSeveral studies addressing correction of iron chloro-sis in plants by foliar sprays have focused on some ofthe mechanisms involved Pretreatment of chloroticplants with the auxin transport inhibitor triiodoben-zoic acid  was reported to enhance transloca-tion of iron in tomato plants and apple seedlings; however, TIBA wasnot an effective pretreatment for iron translocation inlemon trees  or beanplants  The transport ofradioiron from the primary leaf to trifoliate leaves of123bean plants was enhanced by pretreatment withkinetin and gibberellic acid as reported by Kannanand Mathew , butthese experiments aredifcult to interpret because cytokinin may be storedin roots  and transportedto the shoot by the xylem ",,"sugarcane, tomato",,inhibit,1.0
232,21370931.pdf,"27Recently, 2-DE proteomic proling has been used to study Fe-deciency responses in plants in dierent scenarios Changes inthe protein prole of thylakoids from several species have beeninvestigated,2830 as have root proteome changes in tomato31,32 and sugar beet 33Regarding avin synthesis, tomato does not accumulate or exportavin compounds when Fe-decient, whereas sugar beet accu-mulates avins in swollen yellow root tips and exports avincompounds at low pH; however, this latter species has littlemolecular and genetic resources available for more detailedinvestigations Medicago truncatula has emerged as a modellegume with a number of genetic and molecular tools avai-lable34,35 A better understanding of the mechanisms involvedin root Fe homeostasis in this model species may strengthen ourability to enhance Fe-eciency responses in other plant species,especially legumes of agronomic interest",protein,"tomato, beetroot",enhance,,1.0
